id_siniestro,nro_victimas,fecha,franja_hora,tipo_calle,Dirección Normalizada,comuna,longitud,latitud,vehiculo_victima,vehiculo_acusado,rol,sexo,edad,gravedad
2016-0099,1,2016-07-29,16,gral paz,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,cargas,cargas,conductor,masculino,45,fatal
2016-0100,1,2016-08-03,23,gral paz,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,moto,objeto fijo,conductor,masculino,57,fatal
2016-0101,1,2016-08-07,19,gral paz,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,,,,masculino,67,fatal
2016-0102,1,2016-08-10,23,avenida,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,moto,cargas,conductor,masculino,29,fatal
2016-0104,1,2016-08-14,21,avenida,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,moto,pasajeros,conductor,masculino,21,fatal
2016-0105,1,2016-08-17,0,avenida,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,peaton,pasajeros,peaton,masculino,19,fatal
2016-0106,1,2016-08-19,21,avenida,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,peaton,pasajeros,peaton,masculino,38,fatal
2016-0107,1,2016-08-20,8,autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,moto,auto,conductor,masculino,21,fatal
2016-0109,1,2016-08-24,5,autopista,AUTOPISTA PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,auto,objeto fijo,conductor,femenino,53,fatal
2016-0110,1,2016-08-24,20,avenida,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.65903530,peaton,,peaton,masculino,57,fatal
2016-0111,1,2016-08-25,9,autopista,LUGONES y LA PAMPA,15,-58.47461905,-34.57663634,moto,cargas,conductor,masculino,27,fatal
2016-0112,1,2016-08-27,4,autopista,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,moto,objeto fijo,conductor,masculino,24,fatal
2016-0113,1,2016-08-27,16,avenida,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,peaton,pasajeros,peaton,femenino,60,fatal
2016-0114,1,2016-08-31,11,calle,"SALGUERO, JERONIMO 1410",14,-58.41848605,-34.59394733,bicicleta,cargas,ciclista,femenino,55,fatal
2016-0115,1,2016-09-02,11,calle,ARIAS y TRONADOR,12,-58.48935041,-34.54917673,,cargas,,masculino,,fatal
2016-0116,1,2016-09-02,20,avenida,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,moto,auto,conductor,masculino,30,fatal
2016-0117,1,2016-09-03,15,avenida,DEL LIBERTADOR AV. y TAGLE,14,-58.39936478,-34.58271474,auto,auto,conductor,masculino,43,fatal
2016-0118,1,2016-09-04,3,autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,auto,auto,conductor,masculino,27,fatal
2016-0119,1,2016-09-04,6,avenida,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-58.49659234,-34.56353635,,,pasajero_acompañante,femenino,,fatal
2016-0122,1,2016-09-13,7,avenida,"PERON, EVA AV. 4233",9,-58.47256391,-34.65194557,bicicleta,pasajeros,ciclista,masculino,49,fatal
2016-0123,1,2016-09-14,9,avenida,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-58.45130953,-34.64053676,moto,auto,conductor,femenino,58,fatal
2016-0124,1,2016-09-16,15,avenida,RIVADAVIA AV. y RIVERA INDARTE AV.,7,-58.46271207,-34.62884871,peaton,pasajeros,peaton,masculino,67,fatal
2016-0125,1,2016-09-17,12,autopista,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,-58.49020869,-34.64243791,moto,moto,conductor,masculino,30,fatal
2016-0126,2,2016-09-18,22,calle,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,auto,cargas,conductor,masculino,37,fatal
2016-0126,2,2016-09-18,22,calle,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,auto,cargas,pasajero_acompañante,masculino,60,fatal
